job_id,standard_title,function,skills_evidence,skills_max_required_level,skills_n_core,skills_n_leadership,management_level,key_responsibilities,description,RATE_skills_degree_1to6,RATE_effort_degree_1to6,RATE_responsibility_degree_1to6,RATE_working_conditions_degree_1to6,rating_notes
J-CS-01,Customer Support Specialist,Customer,"Written and verbal communication (req 3, Core); Stakeholder management (req 2, Adjacent); Customer success management (req 2, Core); Problem structuring and solving (req 2, Core); Data-driven decision making (req 1, Adjacent)",3,3,0,Individual Contributor,Respond to and resolve customer queries across support channels (email | chat | phone | community) | Diagnose technical | billing | and product issues using internal tools | Escalate complex cases to second-line | engineering | or account management | Maintain accurate | complete case records in the CRM | Contribute to the knowledge base with solutions and workarounds | Identify and report recurring product issues | bugs | and patterns,Handles inbound customer queries across email; chat; and phone. Resolves issues quickly and accurately; and escalates where needed to maintain customer trust.,,,,,
J-CS-02,Customer Success Manager,Customer,"Stakeholder management (req 3, Adjacent); Data-driven decision making (req 3, Adjacent); Account management (req 3, Core); Commercial negotiation (req 3, Core); Customer success management (req 3, Core); Written and verbal communication (req 3, Core); Revenue forecasting (req 2, Adjacent)",3,4,0,Individual Contributor,Own a defined portfolio of accounts and NRR (net revenue retention) targets | Build and maintain senior and multi-threaded customer relationships | Drive product adoption | health score improvement | and value realisation | Lead QBRs | executive business reviews | and success plan check-ins | Identify churn signals early and implement risk mitigation plans | Manage renewals | upsell | and cross-sell opportunities within the portfolio,Manages a portfolio of customer accounts post-sale. Drives adoption; health; renewal; and expansion through proactive and structured relationship management.,,,,,
J-CS-03,Senior Customer Success Manager,Customer,"Account management (req 4, Core); Commercial negotiation (req 4, Core); Customer success management (req 4, Core); Written and verbal communication (req 4, Core); Revenue forecasting (req 3, Adjacent); Board and executive advisory (req 3, Adjacent); Coaching and mentoring (req 3, Leadership)",4,4,1,Informal lead — mentors CSMs; may manage 1–2 juniors,Own and grow a portfolio of strategic or enterprise accounts — typically the most complex or highest-value | Lead high-stakes renewal negotiations and expansion deals | Build executive sponsor relationships and multi-threaded engagement plans | Manage escalations | negotiate resolutions | and restore confidence | Mentor CSMs | review their account plans | and coach commercial conversations | Contribute to CS strategy | playbooks | and customer segmentation,Owns the most strategic customer relationships; leads complex renewals and escalations; and mentors the CSM team. Sets the commercial and relational standard for customer excellence.,,,,,
J-CS-04,Head of Customer Success,Customer,"Customer success management (req 5, Core); Board and executive advisory (req 4, Adjacent); Budget and resource management (req 4, Adjacent); Revenue forecasting (req 4, Core); Team leadership and development (req 4, Core); Strategic planning (req 4, Core); Performance management (req 4, Leadership); Data-driven decision making (req 4, Leadership)",5,4,2,Department head — leads full CS function,Define and own the CS strategy | segmentation model | and operating playbooks | Build | lead | and develop the CS team from CSMs to senior leads | Own NRR | gross retention | expansion | and customer health KPIs | Define and implement health scoring | early warning systems | and risk playbooks | Partner with product | sales | marketing | and support on the full customer journey | Report customer success | NRR | and churn to the board,Leads the customer success function; owns net revenue retention; and defines the operating model that turns customers into advocates and commercial drivers.,,,,,
J-DAT-01,Data Analyst,Data,"Excel and spreadsheet modelling (req 3, Adjacent); Written and verbal communication (req 3, Adjacent); Data-driven decision making (req 3, Adjacent); Data analysis and visualisation (req 3, Core); Business intelligence (req 3, Core); Power BI or Tableau (req 3, Core); SQL and database querying (req 3, Core)",3,4,0,Individual Contributor,Build and maintain reporting dashboards for key business areas | Define | implement | and document business KPIs and metrics | Write SQL queries and data transformations to extract analytical datasets | Analyse business performance data and surface trends and anomalies | Collaborate with stakeholders to translate questions into analytical requirements | Ensure data quality and flag inconsistencies,Turns raw data into dashboards; reports; and insight that inform business decisions. Owns the metrics layer and helps teams ask sharper questions of their data.,,,,,
J-DAT-02,Senior Data Analyst,Data,"Data-driven decision making (req 4, Adjacent); Data analysis and visualisation (req 4, Core); Statistical modelling (req 4, Core); SQL and database querying (req 4, Core); Data governance and quality (req 3, Adjacent); A/B testing and experimentation (req 3, Core); Coaching and mentoring (req 3, Leadership); Stakeholder management (req 3, Leadership)",4,4,2,Informal lead — mentors analysts; may manage 1–2 juniors,Lead complex analytical projects from problem framing to recommendation | Define measurement frameworks for key business areas (growth | retention | revenue) | Mentor junior analysts and review their output | Present findings and strategic recommendations to leadership | Own the data quality framework and analytical governance | Contribute to data strategy and tooling roadmap,Leads analytics on high-impact business questions and sets the measurement standard for the organisation. Bridges complex data and strategic decisions for senior stakeholders.,,,,,
J-DAT-03,Data Engineer,Data,"Data pipeline engineering (req 4, Core); Python programming (req 4, Core); SQL and database querying (req 4, Core); Cloud infrastructure (req 3, Adjacent); Infrastructure as code (req 3, Adjacent); Data governance and quality (req 3, Core); GDPR and data privacy (req 2, Adjacent)",4,4,0,Individual Contributor,Design and build scalable ELT/ETL pipelines using modern tooling | Maintain the data warehouse and lakehouse architecture | Implement data quality checks | monitoring | and observability | Optimise pipeline performance | cost | and maintainability | Work with analysts and scientists to model data for their use cases | Implement data governance controls including lineage and cataloguing,Designs and builds the data pipelines; warehouses; and infrastructure that power analytics and data science. Owns the reliability; scalability; and quality of the data platform.,,,,,
J-DAT-04,Data Scientist,Data,"Statistical modelling (req 4, Core); Machine learning and AI (req 4, Core); Python programming (req 4, Core); Data pipeline engineering (req 3, Adjacent); Written and verbal communication (req 3, Adjacent); Data-driven decision making (req 3, Adjacent); A/B testing and experimentation (req 3, Core)",4,4,0,Individual Contributor,Define the ML problem framing and success metrics with business stakeholders | Engineer features and build training pipelines for supervised and unsupervised models | Train | tune | evaluate | and document ML models | Deploy models to production with robust monitoring and drift detection | Communicate model behaviour and limitations clearly to non-technical audiences | Contribute to MLOps practices and the team's model governance,Develops predictive models and machine-learning systems that generate measurable business value from data. Works across the full ML lifecycle from problem framing to production monitoring.,,,,,
J-DAT-05,Head of Data,Data,"Data governance and quality (req 5, Core); Strategic planning (req 5, Core); Data pipeline engineering (req 4, Adjacent); Board and executive advisory (req 4, Adjacent); GDPR and data privacy (req 4, Adjacent); Team leadership and development (req 4, Core); Coaching and mentoring (req 4, Leadership); Budget and resource management (req 4, Leadership)",5,3,2,Department head — leads data function (analysts; engineers; scientists),Define and own the data strategy | roadmap | and investment priorities | Build | lead | and develop a team of analysts | engineers | and scientists | Own data governance | privacy compliance (AVG/GDPR) | and quality standards | Align data capability to commercial and product priorities | Manage the data platform budget | vendor relationships | and tooling decisions | Report data maturity | ROI | and risk to the board,Sets data strategy; owns the data platform; and leads the data team. Accountable for data quality; governance; and analytical capability as a strategic asset for the business.,,,,,
J-ENG-01,Junior Software Engineer,Engineering,"Written and verbal communication (req 2, Adjacent); Problem structuring and solving (req 2, Adjacent); Git and version control (req 2, Core); Test-driven development (req 1, Core); API design and integration (req 1, Core)",2,3,0,Individual Contributor,Implement features from clearly defined specifications and user stories | Write clean | tested | and peer-reviewed code | Participate actively in sprint ceremonies and backlog refinement | Write and maintain unit and integration tests | Diagnose and fix reported bugs and defects | Learn and apply team coding standards and architectural patterns,Ships well-scoped features and fixes with guidance from senior engineers. Builds craft across the codebase while growing toward independent delivery of complete components.,,,,,
